Institution,Discipline,Last,First,City,Gender,Region,Macro
Bocconi MILANO,SECS-S,AASSVE,Arnstein,Milano,M,Lombardia,Nord
FIRENZE,L-FIL-LET,ABARDO,Rudy,Firenze,M,Toscana,Centro
PADOVA,IUS,ABATANGELO,Chiara,Padova,F,Veneto,Nord
PADOVA,BIO,ABATANGELO,Giovanni,Padova,M,Veneto,Nord
Politecnico di BARI,MAT,ABATANGELO,Vito,Bari,M,Puglia,Sud
BARI,CHIM,ABATE,Carmen,Bari,F,Puglia,Sud
CATANIA,CHIM,ABATE,Lorenzo,Catania,M,Sicilia,Sicilia
CHIETI-PESCARA,MED,ABATE,Giuseppe,Chieti,M,Abruzzo,Sud
"NAPOLI \Federico II\\\\\""""",MED,ABATE,Sergio,Napoli,M,Campania,Sud
PADOVA,MED,ABATE,Davide Antonio,Padova,M,Veneto,Nord
PALERMO,GEO,ABATE,Benedetto,Palermo,M,Sicilia,Sicilia
PISA,MAT,ABATE,Marco,Pisa,M,Toscana,Centro
SALERNO,INF,ABATE,Andrea Francesco,Salerno,M,Campania,Sud
"ROMA \Tor Vergata\\\\\""""",SECS-P,ABATECOLA,Gianpaolo,Roma,M,Lazio,Centro
SALERNO,SECS-P,ABATEMARCO,Antonio,Salerno,M,Campania,Sud
VERONA,MED,ABATERUSSO,Cataldo,Verona,M,Veneto,Nord
MILANO,MED,ABATI,Silvio,Milano,M,Lombardia,Nord
Politecnico di MILANO,MAT,ABBA,Antonella,Milano,F,Lombardia,Nord
Cattolica del Sacro Cuore,IUS,ABBADESSA,Pietro,Milano,M,Lombardia,Nord
PALERMO,MED,ABBADESSA,Vincenzo,Palermo,M,Sicilia,Sicilia
Seconda Univ. NAPOLI,MED,ABBADESSA,Antonio,Napoli,M,Campania,Sud
"ROMA \La Sapienza\\\\\""""",SECS-P,ABBAFATI,Cristiana,Roma,F,Lazio,Centro
MOLISE,IUS,ABBAGNANOTRIONE,Andrea,Campobasso,M,Molise,Sud
Cattolica del Sacro Cuore,MED,ABBALLE,Carlo,Milano,M,Lombardia,Nord
SIENA,MED,ABBAMONDI,Anna Laura,Siena,F,Toscana,Centro
"NAPOLI \Federico II\\\\\""""",L-FIL-LET,ABBAMONTE,Giancarlo,Napoli,M,Campania,Sud
Seconda Univ. NAPOLI,L-LIN,ABBAMONTE,Lucia,Napoli,F,Campania,Sud
Seconda Univ. NAPOLI,IUS,ABBAMONTE,Orazio,Napoli,M,Campania,Sud
BRESCIA,FIS,ABBATE,Sergio,Brescia,M,Lombardia,Nord
CATANIA,AGR,ABBATE,Valerio,Catania,M,Sicilia,Sicilia
FIRENZE,MED,ABBATE,Rosanna,Firenze,F,Toscana,Centro
MESSINA,MED,ABBATE,Carmelo,Messina,M,Sicilia,Sicilia
MESSINA,VET,ABBATE,Francesco,Messina,M,Sicilia,Sicilia
MESSINA,L-LIN,ABBATE,Lucia,Messina,F,Sicilia,Sicilia
MESSINA,SECS-P,ABBATE,Tindara,Messina,F,Sicilia,Sicilia
"NAPOLI \Federico II\\\\\""""",FIS,ABBATE,Giancarlo,Napoli,M,Campania,Sud
PALERMO,ING-IND,ABBATE,Lorenzo,Palermo,M,Sicilia,Sicilia
"ROMA \La Sapienza\\\\\""""",BIO,ABBATE,Giovanna,Roma,F,Lazio,Centro
SALENTO,L-ART,ABBATE,Francesco,Lecce,M,Puglia,Sud
SALERNO,M-FIL,ABBATE,Michele,Salerno,M,Campania,Sud
Seconda Univ. NAPOLI,MED,ABBATE,Gianfranco,Napoli,M,Campania,Sud
TORINO,MED,ABBATEDAGA,Giovanni,Torino,M,Piemonte,Nord
GENOVA,SPS,ABBATECOLA,Emanuela,Genova,F,Liguria,Nord
TORINO,L-LIN,ABBATI,Orietta,Torino,F,Piemonte,Nord
BARI,INF,ABBATTISTA,Fabio,Bari,M,Puglia,Sud
TRIESTE,M-STO,ABBATTISTA,Guido,Trieste,M,Friuli-Venezia-Giulia,Nord
TORINO,MAT,ABBENA,Elsa,Torino,F,Piemonte,Nord
BOLOGNA,BIO,ABBIATI,Marco,Bologna,M,Emilia-Romagna,Nord
Ca Foscari VENEZIA,L-OR,ABBIATI,Magda,Venezia,F,Veneto,Nord
MILANO,CHIM,ABBIATI,Giorgio,Milano,M,Lombardia,Nord
PISA,MAT,ABBONDANDOLO,Alberto,Pisa,M,Toscana,Centro
Seconda Univ. NAPOLI,MED,ABBONDANZA,Ciro,Napoli,M,Campania,Sud
MILANO-BICOCCA,CHIM,ABBOTTO,Alessandro,Milano,M,Lombardia,Nord
MILANO,BIO,ABBRACCHIO,Mariapia,Milano,F,Lombardia,Nord
BARI,FIS,ABBRESCIA,Marcello,Bari,M,Puglia,Sud
SIENA,M-FIL,ABBRI,Ferdinando,Siena,M,Toscana,Centro
PERUGIA,MED,ABBRITTI,Giuseppe,Perugia,M,Umbria,Centro
GENOVA,MED,ABBRUZZESE,Giovanni,Genova,M,Liguria,Nord
TRENTO,SPS,ABBRUZZESE,Salvatore,Trento,M,Trentino-Alto-Adige,Nord
Seconda Univ. NAPOLI,BIO,ABBRUZZESESACCARDI,Alberto,Napoli,M,Campania,Sud
"ROMA \La Sapienza\\\\\""""",BIO,ABDELAHAD,Nadia,Roma,F,Lazio,Centro
FERRARA,BIO,ABELLI,Luigi,Ferrara,M,Emilia-Romagna,Nord
TRIESTE,SPS,ABENANTE,Diego,Trieste,M,Friuli-Venezia-Giulia,Nord
Mediterranea di REGGIO CALABRIA,AGR,ABENAVOLI,Lorenzo Maria Massimo,ReggioCalabria,M,Calabria,Sud
Mediterranea di REGGIO CALABRIA,AGR,ABENAVOLI,Maria Rosa,ReggioCalabria,F,Calabria,Sud
BOLOGNA,MAT,ABENDA,Simonetta,Bologna,F,Emilia-Romagna,Nord
TRENTO,ING-INF,ABENI,Luca,Trento,M,Trentino-Alto-Adige,Nord
BARI,L-LIN,ABET,Genevieve,Bari,F,Puglia,Sud
"NAPOLI \Federico II\\\\\""""",MED,ABETE,Pasquale,Napoli,M,Campania,Sud
CAGLIARI,L-LIN,ABIAAD,Albert,Cagliari,M,Sardegna,Sardegna
"NAPOLI \Federico II\\\\\""""",IUS,ABIGNENTE,Angelo,Napoli,M,Campania,Sud
CAGLIARI,ICAR,ABIS,Emanuela,Cagliari,F,Sardegna,Sardegna
CAGLIARI,ICAR,ABIS,Massimo,Cagliari,M,Sardegna,Sardegna
TORINO,CHIM,ABOLLINO,Ornella,Torino,F,Piemonte,Nord
MESSINA,FIS,ABRAMO,Maria Concetta,Messina,F,Sicilia,Sicilia
PISA,VET,ABRAMO,Francesca,Pisa,F,Toscana,Centro
UDINE,ING-INF,ABRAMO,Antonio,Udine,M,Friuli-Venezia-Giulia,Nord
SIENA,ING-INF,ABRARDO,Andrea,Siena,M,Toscana,Centro
PIEMONTE ORIENTALE,SECS-P,ABRATE,Graziano,Vercelli,M,Piemonte,Nord
BOLOGNA,IUS,ABRESCIA,Michele,Bologna,M,Emilia-Romagna,Nord
