Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,Link,Document Type,Source
"Abbott, A.",Stem cells: The cell division,2011,Nature,480,7377,,310,312,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-83455259819&partnerID=40&md5=fd4e5254c0d5783a935ee4a40be2b51a,Article,Scopus
"Abbott, A.",Tissue-bank shortage: Brain child,2011,Nature,478,7370,,442,443,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-80055010236&partnerID=40&md5=bb3dbefc5058cd72e43c87b2c25bd065,Article,Scopus
"Abbott, A.",Dementia: A problem for our age,2011,Nature,475,7355 SUPPL.,,S2,S4,,15,http://www.scopus.com/inward/record.url?eid=2-s2.0-79960343607&partnerID=40&md5=a8a87a82925eeebdef50fe8acc9a0e54,Article,Scopus
"Abbott, A.",Greek crisis spurs research reforms,2011,Nature,475,7354,,13,14,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-80051706650&partnerID=40&md5=f3a07b796d47d5582d4993e052104e1d,Article,Scopus
"Agakishiev, H., Aggarwal, M.M., Ahammed, Z., Alakhverdyants, A.V., Alekseev, I., Alford, J., Anderson, B.D., Anson, C.D., Arkhipkin, D., Averichev, G.S., Balewski, J., Beavis, D.R., Behera, N.K., Bellwied, R., Betancourt, M.J., Betts, R.R., Bhasin, A., Bhati, A.K., Bichsel, H., Bielcik, J., Bielcikova, J., Biritz, B., Bland, L.C., Bordyuzhin, I.G., Borowski, W., Bouchet, J., Braidot, E., Brandin, A.V., Bridgeman, A., Brovko, S.G., Bruna, E., Bueltmann, S., Bunzarov, I., Burton, T.P., Cai, X.Z., Caines, H., Calderon, M., Cebra, D., Cendejas, R., Cervantes, M.C., Chajecki, Z., Chaloupka, P., Chattopadhyay, S., Chen, H.F., Chen, J.H., Chen, J.Y., Chen, L., Cheng, J., Cherney, M., Chikanian, A., Choi, K.E., Christie, W., Chung, P., Codrington, M.J.M., Corliss, R., Cramer, J.G., Crawford, H.J., Davila Leyva, A., De Silva, L.C., Debbe, R.R., Dedovich, T.G., Derevschikov, A.A., Derradi De Souza, R., Didenko, L., Djawotho, P., Dogra, S.M., Dong, X., Drachenberg, J.L., Draper, J.E., Dunlop, J.C., Efimov, L.G., Elnimr, M., Engelage, J., Eppley, G., Estienne, M., Eun, L., Evdokimov, O., Fatemi, R., Fedorisin, J., Fersch, R.G., Filip, P., Finch, E., Fine, V., Fisyak, Y., Gagliardi, C.A., Gangadharan, D.R., Geurts, F., Ghosh, P., Gorbunov, Y.N., Gordon, A., Grebenyuk, O.G., Grosnick, D., Guertin, S.M., Gupta, A., Gupta, S., Guryn, W., Haag, B., Hajkova, O., Hamed, A., Han, L.-X., Harris, J.W., Hays-Wehle, J.P., Heinz, M., Heppelmann, S., Hirsch, A., Hjort, E., Hoffmann, G.W., Hofman, D.J., Huang, B., Huang, H.Z., Humanic, T.J., Huo, L., Igo, G., Jacobs, P., Jacobs, W.W., Jena, C., Jin, F., Joseph, J., Judd, E.G., Kabana, S., Kang, K., Kapitan, J., Kauder, K., Ke, H.W., Keane, D., Kechechyan, A., Kettler, D., Kikola, D.P., Kiryluk, J., Kisiel, A., Kizka, V., Klein, S.R., Knospe, A.G., Koetke, D.D., Kollegger, T., Konzer, J., Koralt, I., Koroleva, L., Korsch, W., Kotchenda, L., Kouchpil, V., Kravtsov, P., Krueger, K., Krus, M., Kumar, L., Kurnadi, P., Lamont, M.A.C., Landgraf, J.M., Lapointe, S., Lauret, J., Lebedev, A., Lednicky, R., Lee, J.H., Leight, W., Levine, M.J., Li, C., Li, L., Li, N., Li, W., Li, X., Li, X., Li, Y., Li, Z.M., Lisa, M.A., Liu, F., Liu, H., Liu, J., Ljubicic, T., Llope, W.J., Longacre, R.S., Love, W.A., Lu, Y., Lukashov, E.V., Luo, X., Ma, G.L., Ma, Y.G., Mahapatra, D.P., Majka, R., Mall, O.I., Manweiler, R., Margetis, S., Markert, C., Masui, H., Matis, H.S., Matulenko, Y.A., McDonald, D., McShane, T.S., Meschanin, A., Milner, R., Minaev, N.G., Mioduszewski, S., Mitrovski, M.K., Mohammed, Y., Mohanty, B., Mondal, M.M., Morozov, B., Morozov, D.A., Munhoz, M.G., Mustafa, M.K., Naglis, M., Nandi, B.K., Nayak, T.K., Netrakanti, P.K., Nogach, L.V., Nurushev, S.B., Odyniec, G., Ogawa, A., Oh, K., Ohlson, A., Okorokov, V., Oldag, E.W., Olson, D., Pachr, M., Page, B.S., Pal, S.K., Pandit, Y., Panebratsev, Y., Pawlak, T., Pei, H., Peitzmann, T., Perkins, C., Peryt, W., Pile, P., Planinic, M., Ploskon, M.A., Pluta, J., Plyku, D., Poljak, N., Porter, J., Poskanzer, A.M., Potukuchi, B.V.K.S., Powell, C.B., Prindle, D., Pruneau, C., Pruthi, N.K., Pujahari, P.R., Putschke, J., Qiu, H., Raniwala, R., Raniwala, S., Ray, R.L., Redwine, R., Reed, R., Ritter, H.G., Roberts, J.B., Rogachevskiy, O.V., Romero, J.L., Ruan, L., Rusnak, J., Sahoo, N.R., Sakrejda, I., Salur, S., Sandweiss, J., Sangaline, E., Sarkar, A., Schambach, J., Scharenberg, R.P., Schmah, A.M., Schmitz, N., Schuster, T.R., Seele, J., Seger, J., Selyuzhenkov, I., Seyboth, P., Shah, N., Shahaliev, E., Shao, M., Sharma, M., Shi, S.S., Shou, Q.Y., Sichtermann, E.P., Simon, F., Singaraju, R.N., Skoby, M.J., Smirnov, N., Solanki, D., Sorensen, P., Spinka, H.M., Srivastava, B., Stanislaus, T.D.S., Staszak, D., Steadman, S.G., Stevens, J.R., Stock, R., Strikhanov, M., Stringfellow, B., Suaide, A.A.P., Suarez, M.C., Subba, N.L., Sumbera, M., Sun, X.M., Sun, Y., Sun, Z., Surrow, B., Svirida, D.N., Symons, T.J.M., Szanto De Toledo, A., Takahashi, J., Tang, A.H., Tang, Z., Tarini, L.H., Tarnowsky, T., Thein, D., Thomas, J.H., Tian, J., Timmins, A.R., Tlusty, D., Tokarev, M., Trainor, T.A., Trentalange, S., Tribble, R.E., Tribedy, P., Tsai, O.D., Ullrich, T., Underwood, D.G., Van Buren, G., Van Nieuwenhuizen, G., Vanfossen Jr, J.A., Varma, R., Vasconcelos, G.M.S., Vasiliev, A.N., Videbaek, F., Viyogi, Y.P., Vokal, S., Voloshin, S.A., Wada, M., Walker, M., Wang, F., Wang, G., Wang, H., Wang, J.S., Wang, Q., Wang, X.L., Wang, Y., Webb, G., Webb, J.C., Westfall, G.D., Whitten Jr., C.W.C., Wieman, H., Wissink, S.W., Witt, R., Witzke, W., Wu, Y.F., Xiao, Z., Xie, W., Xu, H., Xu, N., Xu, Q.H., Xu, W., Xu, Y., Xu, Z., Xue, L., Yang, Y., Yang, Y., Yepes, P., Yip, K., Yoo, I.-K., Zawisza, M., Zbroszczyk, H., Zhan, W., Zhang, J.B., Zhang, S., Zhang, W.M., Zhang, X.P., Zhang, Y., Zhang, Z.P., Zhao, F., Zhao, J., Zhong, C., Zhou, W., Zhu, X., Zhu, Y.H., Zoulkarneev, R., Zoulkarneeva., Y.",Observation of the antimatter helium-4 nucleus,2011,Nature,473,7347,,353,356,,15,http://www.scopus.com/inward/record.url?eid=2-s2.0-79956303213&partnerID=40&md5=3cace3d703e69d223d05aa67c17d9c95,Article,Scopus
"Aguilar-Arnal, L., Sassone-Corsi, P.",Stem cells: The clock within,2011,Nature,480,7376,,185,187,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-83055188893&partnerID=40&md5=f38f2da563d831e08179c86d3be68d42,Article,Scopus
"Aguilera, C., Nakagawa, K., Sancho, R., Chakraborty, A., Hendrich, B., Behrens, A.",C-Jun N-terminal phosphorylation antagonises recruitment of the Mbd3/NuRD repressor complex,2011,Nature,469,7329,,231,236,,13,http://www.scopus.com/inward/record.url?eid=2-s2.0-78651405682&partnerID=40&md5=375e14c3ff064fd75be21f4470325b5c,Article,Scopus
"Alavez, S., Vantipalli, M.C., Zucker, D.J.S., Klang, I.M., Lithgow, G.J.",Amyloid-binding compounds maintain protein homeostasis during ageing and extend lifespan,2011,Nature,472,7342,,226,230,,33,http://www.scopus.com/inward/record.url?eid=2-s2.0-79954571967&partnerID=40&md5=9efede7a20bda891e5e25ec6ea946914,Article,Scopus
"Alexandrou, M.A., Oliveira, C., Maillard, M., McGill, R.A.R., Newton, J., Creer, S., Taylor, M.I.",Competition and phylogeny determine community structure in Müllerian co-mimics,2011,Nature,469,7328,,84,89,,13,http://www.scopus.com/inward/record.url?eid=2-s2.0-78650973877&partnerID=40&md5=40d963461e8ad2c589d3ca9a93d89d92,Article,Scopus
"Alföldi, J., Di Palma, F., Grabherr, M., Williams, C., Kong, L., Mauceli, E., Russell, P., Lowe, C.B., Glor, R.E., Jaffe, J.D., Ray, D.A., Boissinot, S., Shedlock, A.M., Botka, C., Castoe, T.A., Colbourne, J.K., Fujita, M.K., Moreno, R.G., Ten Hallers, B.F., Haussler, D., Heger, A., Heiman, D., Janes, D.E., Johnson, J., De Jong, P.J., Koriabine, M.Y., Lara, M., Novick, P.A., Organ, C.L., Peach, S.E., Poe, S., Pollock, D.D., De Queiroz, K., Sanger, T., Searle, S., Smith, J.D., Smith, Z., Swofford, R., Turner-Maier, J., Wade, J., Young, S., Zadissa, A., Edwards, S.V., Glenn, T.C., Schneider, C.J., Losos, J.B., Lander, E.S., Breen, M., Ponting, C.P., Lindblad-Toh, K.",The genome of the green anole lizard and a comparative analysis with birds and mammals,2011,Nature,477,7366,,587,591,,32,http://www.scopus.com/inward/record.url?eid=2-s2.0-80053359585&partnerID=40&md5=7eba0c009004bc6f746c599596c4f5c8,Article,Scopus
